Date/Time,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
2016-11-23,11,23,1.3,-3.4,-1.1,19.1,0,1.2,,0.4,,1.6,,0,10,32
2016-11-24,11,24,3.8,1.2,2.5,15.5,0,3.8,,0,,3.8,,,6,35
2016-11-25,11,25,7.3,3.5,5.4,12.6,0,0.6,,0,,0.6,,,25,37
2016-11-26,11,26,6.4,2.3,4.4,13.6,0,2.4,,0,,2.4,,,29,30
2016-11-27,11,27,7.8,0.9,4.4,13.6,0,0,,0,,0,,,,<31
2016-11-28,11,28,8.1,2.7,5.4,12.6,0,1.6,,0,,1.6,,,10,39
2016-11-29,11,29,14.6,6,10.3,7.7,0,2.4,,0,,2.4,,,24,39
2016-11-30,11,30,11.5,6.3,8.9,9.1,0,7.4,,0,,7.4,,,26,33
2016-12-01,12,1,7.8,4,5.9,12.1,0,0,T,0,,0,T,,26,56
2016-12-02,12,2,5.7,1.9,3.8,14.2,0,0,T,0,,0,T,,26,61
2016-12-03,12,3,6,0.1,3.1,14.9,0,0,,0,,0,,,30,52
2016-12-04,12,4,2.8,0.3,1.6,16.4,0,,M,1.2,,0.6,,1,11,39
2016-12-05,12,5,5.8,0.3,3.1,14.9,0,0,,0.1,,3,,0,26,54
2016-12-06,12,6,5.4,-1.1,2.2,15.8,0,4.5,,0.1,,4.6,,,11,48
2016-12-07,12,7,3.3,-1.1,1.1,16.9,0,0,T,0,,0,T,,26,50
2016-12-08,12,8,0,-4.4,-2.2,20.2,0,0,,0.8,,0.6,,0,25,59
2016-12-09,12,9,-0.9,-7.2,-4.1,22.1,0,0,T,0,,0,T,0,28,48
2016-12-10,12,10,-1.4,-7.1,-4.3,22.3,0,0,,0.2,,0.2,,0,27,54
2016-12-11,12,11,-0.1,-7.2,-3.7,21.7,0,0,,13.8,,14.6,,0,14,35
2016-12-12,12,12,2.4,-2.7,-0.2,18.2,0,0,,2.8,,3.4,,15,28,63
2016-12-13,12,13,-1.3,-6.6,-4,22,0,0,T,0,,0,T,8,27,54
2016-12-14,12,14,-5.1,-10.6,-7.9,25.9,0,0,,0.4,,0.4,,8,25,67
2016-12-15,12,15,-7.9,-12.9,-10.4,28.4,0,0,,4,,4,,8,27,82
2016-12-16,12,16,-5.7,-11.3,-8.5,26.5,0,0,,3,,3,,10,26,43
2016-12-17,12,17,-0.3,-6.3,-3.3,21.3,0,1.6,,6,,7.4,,18,16,32
2016-12-18,12,18,-1.1,-13.8,-7.5,25.5,0,0.6,,0.2,,0.8,,19,30,59
2016-12-19,12,19,-7.6,-12.9,-10.3,28.3,0,0,,0,,0,,19,22,33
2016-12-20,12,20,0.3,-10.1,-4.9,22.9,0,0,,0,,0,,19,22,67
2016-12-21,12,21,-0.6,-8.1,-4.4,22.4,0,0,,1.4,,1.4,,19,22,32
2016-12-22,12,22,3.3,-0.7,1.3,16.7,0,0,T,0,,0,T,19,31,43
2016-12-23,12,23,2.6,-2.6,0,18,0,0,,0,,0,,17,23,43
2016-12-24,12,24,3.3,0.9,2.1,15.9,0,5.3,,0.1,,5.4,,12,28,37
2016-12-25,12,25,2.6,-2.9,-0.2,18.2,0,0,,0,,0,,8,11,43
2016-12-26,12,26,9.7,-3.6,3.1,14.9,0,19.8,,0,,19.8,,7,25,63
2016-12-27,12,27,6.7,-3.1,1.8,16.2,0,0,T,0,,0,T,1,26,70
2016-12-28,12,28,0.6,-3.7,-1.6,19.6,0,0,T,0,,0,T,1,26,43
2016-12-29,12,29,1.9,-1.6,0.2,17.8,0,0,,6,,6,,5,28,44
2016-12-30,12,30,-0.1,-3.6,-1.9,19.9,0,0,,0.4,,0.4,,5,29,46
2016-12-31,12,31,3.7,-3.5,0.1,17.9,0,0.8,,1,,1.8,,4,23,56
