"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1984-01-01","1984","01","01","","-2.1","","-8.4","","-5.3","","23.3","","0.0","","0.0","","2.4","","0.8","","14","","","","<31",""
"1984-01-02","1984","01","02","","-1.4","","-4.6","","-3.0","","21.0","","0.0","","0.0","","0.8","","0.6","","14","","","","<31",""
"1984-01-03","1984","01","03","","0.3","","-3.3","","-1.5","","19.5","","0.0","","0.0","","0.0","T","0.0","T","11","","22","","57",""
"1984-01-04","1984","01","04","","1.2","","-0.7","","0.3","","17.7","","0.0","","0.0","T","0.0","T","0.0","T","7","","25","","37",""
"1984-01-05","1984","01","05","","1.7","","-0.8","","0.5","","17.5","","0.0","","0.0","T","2.4","","1.6","","3","","21","","44",""
"1984-01-06","1984","01","06","","2.3","","-10.4","","-4.1","","22.1","","0.0","","0.0","T","0.4","","0.6","","4","","32","","46",""
"1984-01-07","1984","01","07","","-9.8","","-17.8","","-13.8","","31.8","","0.0","","0.0","","0.0","T","0.0","T","3","","34","","41",""
"1984-01-08","1984","01","08","","-3.2","","-13.8","","-8.5","","26.5","","0.0","","0.0","","3.0","","2.0","","5","","28","","41",""
"1984-01-09","1984","01","09","","-9.3","","-16.3","","-12.8","","30.8","","0.0","","0.0","","3.0","","1.8","","7","","3","","33",""
"1984-01-10","1984","01","10","","-4.0","","-18.9","","-11.5","","29.5","","0.0","","0.0","","0.2","","0.0","T","10","","35","","35",""
"1984-01-11","1984","01","11","","-13.9","","-21.1","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","10","","33","","35",""
"1984-01-12","1984","01","12","","-11.5","","-22.8","","-17.2","","35.2","","0.0","","0.0","","0.4","","0.2","","9","","5","","33",""
"1984-01-13","1984","01","13","","-2.3","","-13.8","","-8.1","","26.1","","0.0","","0.0","","3.4","","3.0","","10","","6","","39",""
"1984-01-14","1984","01","14","","-6.6","","-17.7","","-12.2","","30.2","","0.0","","0.0","","0.8","","0.4","","12","","34","","41",""
"1984-01-15","1984","01","15","","-15.5","","-26.8","","-21.2","","39.2","","0.0","","0.0","","0.0","","0.0","","12","","36","","31",""
"1984-01-16","1984","01","16","","-10.6","","-26.3","","-18.5","","36.5","","0.0","","0.0","","0.0","T","0.0","T","12","","","","<31",""
"1984-01-17","1984","01","17","","-5.1","","-12.5","","-8.8","","26.8","","0.0","","0.0","","0.0","T","0.0","T","12","","","","<31",""
"1984-01-18","1984","01","18","","-7.6","","-15.0","","-11.3","","29.3","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"1984-01-19","1984","01","19","","-13.7","","-18.9","","-16.3","","34.3","","0.0","","0.0","","0.0","","0.0","","11","","27","","44",""
"1984-01-20","1984","01","20","","-12.9","","-20.9","","-16.9","","34.9","","0.0","","0.0","","0.2","","0.2","","11","","27","","48",""
