"Station Name","TORONTO LESTER B. PEARSON INT'L A"
"Province","ONTARIO"
"Latitude","43.68"
"Longitude","-79.63"
"Elevation","173.40"
"Climate Identifier","6158733"
"WMO Identifier","71624"
"TC Identifier","YYZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1988-01-01","1988","01","01","","-1.3","","-9.2","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","T","0","T","26","","56",""
"1988-01-02","1988","01","02","","-4.8","","-9.8","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","0","T","27","","46",""
"1988-01-03","1988","01","03","","0.9","","-8.0","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","0","T","21","","31",""
"1988-01-04","1988","01","04","","-1.3","","-12.9","","-7.1","","25.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","26","","69",""
"1988-01-05","1988","01","05","","-9.8","","-15.0","","-12.4","","30.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","26","","74",""
"1988-01-06","1988","01","06","","-8.3","","-14.9","","-11.6","","29.6","","0.0","","0.0","","0.2","","0.2","","0","T","29","","41",""
"1988-01-07","1988","01","07","","-7.3","","-17.7","","-12.5","","30.5","","0.0","","0.0","","0.2","","0.2","","0","T","","","<31",""
"1988-01-08","1988","01","08","","-4.5","","-13.3","","-8.9","","26.9","","0.0","","0.0","","0.4","","0.2","","0","T","","","<31",""
"1988-01-09","1988","01","09","","-4.9","","-12.4","","-8.7","","26.7","","0.0","","0.0","","0.0","T","0.0","T","0","T","26","","44",""
"1988-01-10","1988","01","10","","-4.9","","-14.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"1988-01-11","1988","01","11","","-1.2","","-12.4","","-6.8","","24.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","21","","48",""
"1988-01-12","1988","01","12","","6.9","","-3.7","","1.6","","16.4","","0.0","","0.0","T","0.0","","0.0","T","0","T","23","","74",""
"1988-01-13","1988","01","13","","4.3","","-21.5","","-8.6","","26.6","","0.0","","0.0","T","0.8","","1.2","","1","","27","","76",""
"1988-01-14","1988","01","14","","-11.5","","-23.7","","-17.6","","35.6","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"1988-01-15","1988","01","15","","-2.1","","-12.3","","-7.2","","25.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","21","","43",""
"1988-01-16","1988","01","16","","6.8","","-2.8","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","T","21","","56",""
"1988-01-17","1988","01","17","","7.3","","2.7","","5.0","","13.0","","0.0","","7.4","","0.0","","7.4","","0","","22","","39",""
"1988-01-18","1988","01","18","","4.8","","0.9","","2.9","","15.1","","0.0","","0.6","","0.0","","0.6","","0","","31","","48",""
"1988-01-19","1988","01","19","","1.5","","-0.9","","0.3","","17.7","","0.0","","1.3","","0.0","","1.3","","0","","9","","61",""
"1988-01-20","1988","01","20","","11.1","","0.7","","5.9","","12.1","","0.0","","4.8","","0.0","","4.8","","0","","22","","61",""
"1988-01-21","1988","01","21","","2.4","","-9.6","","-3.6","","21.6","","0.0","","0.0","","0.0","T","0.0","T","0","","27","","50",""
"1988-01-22","1988","01","22","","-2.3","","-12.3","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","0","","24","","33",""
"1988-01-23","1988","01","23","","0.9","","-4.2","","-1.7","","19.7","","0.0","","0.0","","0.6","","0.4","","0","T","21","","33",""
"1988-01-24","1988","01","24","","2.2","","-3.1","","-0.5","","18.5","","0.0","","0.2","","2.6","","2.6","","1","","21","","52",""
"1988-01-25","1988","01","25","","-0.1","","-5.5","","-2.8","","20.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"1988-01-26","1988","01","26","","-3.6","","-13.9","","-8.8","","26.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","33","","39",""
"1988-01-27","1988","01","27","","-5.8","","-15.3","","-10.6","","28.6","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"1988-01-28","1988","01","28","","-5.4","","-12.6","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","29","","43",""
"1988-01-29","1988","01","29","","3.8","","-12.5","","-4.4","","22.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"1988-01-30","1988","01","30","","8.8","","3.8","","6.3","","11.7","","0.0","","0.2","","0.0","T","0.2","","0","","22","","46",""
