"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1997-01-01","1997","01","01","","-3.0","","-14.6","","-8.8","","26.8","","0.0","","0.0","T","4.0","","4.0","","13","","10","","33",""
"1997-01-02","1997","01","02","","4.1","","-3.2","","0.5","","17.5","","0.0","","1.4","","0.0","T","1.4","","14","","","","<31",""
"1997-01-03","1997","01","03","","5.6","","1.2","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","4","","","","<31",""
"1997-01-04","1997","01","04","","3.4","","1.0","","2.2","","15.8","","0.0","","4.2","","0.0","","4.2","","2","","9","","44",""
"1997-01-05","1997","01","05","","10.1","","-1.7","","4.2","","13.8","","0.0","","3.0","","0.0","T","3.0","","0","","25","","76",""
"1997-01-06","1997","01","06","","-1.6","","-4.5","","-3.1","","21.1","","0.0","","0.0","","0.2","","0.2","","0","T","26","","65",""
"1997-01-07","1997","01","07","","-4.2","","-9.7","","-7.0","","25.0","","0.0","","0.0","","2.0","","0.6","","0","T","30","","54",""
"1997-01-08","1997","01","08","","-4.3","","-10.9","","-7.6","","25.6","","0.0","","0.0","","0.0","","0.0","","2","","29","","39",""
"1997-01-09","1997","01","09","","0.8","","-11.4","","-5.3","","23.3","","0.0","","0.0","","12.6","","14.8","","1","","9","","63",""
"1997-01-10","1997","01","10","","-1.7","","-10.8","","-6.3","","24.3","","0.0","","0.0","","1.8","","2.0","","12","","24","","61",""
"1997-01-11","1997","01","11","","-7.2","","-11.7","","-9.5","","27.5","","0.0","","0.0","","0.4","","0.4","","14","","28","","70",""
"1997-01-12","1997","01","12","","-6.6","","-10.5","","-8.6","","26.6","","0.0","","0.0","","0.4","","0.2","","14","","25","","52",""
"1997-01-13","1997","01","13","","-4.6","","-8.7","","-6.7","","24.7","","0.0","","0.0","","0.0","T","0.0","T","14","","25","","46",""
"1997-01-14","1997","01","14","","-4.3","","-10.9","","-7.6","","25.6","","0.0","","0.0","","0.2","","0.2","","11","","24","","44",""
"1997-01-15","1997","01","15","","2.2","","-10.1","","-4.0","","22.0","","0.0","","3.8","","1.2","","5.0","","9","","17","","43",""
"1997-01-16","1997","01","16","","3.4","","-16.6","","-6.6","","24.6","","0.0","","1.0","","0.2","","1.2","","3","","22","","82",""
"1997-01-17","1997","01","17","","-14.1","","-17.6","","-15.9","","33.9","","0.0","","0.0","","0.0","T","0.0","T","3","","25","","67",""
"1997-01-18","1997","01","18","","-14.9","","-24.6","","-19.8","","37.8","","0.0","","0.0","","0.8","","0.6","","3","","35","","37",""
"1997-01-19","1997","01","19","","-6.5","","-18.1","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","T","3","","23","","44",""
"1997-01-20","1997","01","20","","-0.3","","-11.9","","-6.1","","24.1","","0.0","","0.0","","0.8","","0.6","","3","","23","","59",""
"1997-01-21","1997","01","21","","0.4","","-15.2","","-7.4","","25.4","","0.0","","1.6","","0.0","","1.6","","3","","","","<31",""
"1997-01-22","1997","01","22","","6.9","","0.4","","3.7","","14.3","","0.0","","2.0","","0.0","","2.0","","2","","27","","80",""
"1997-01-23","1997","01","23","","2.6","","-12.2","","-4.8","","22.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","36","","52",""
"1997-01-24","1997","01","24","","0.8","","-12.4","","-5.8","","23.8","","0.0","","0.0","T","9.4","","9.8","","1","","11","","39",""
"1997-01-25","1997","01","25","","1.9","","-11.2","","-4.7","","22.7","","0.0","","1.2","","0.8","","1.8","","6","","25","","82",""
"1997-01-26","1997","01","26","","-11.2","","-19.1","","-15.2","","33.2","","0.0","","0.0","","0.0","T","0.0","T","5","","","","<31",""
"1997-01-27","1997","01","27","","0.0","","-13.4","","-6.7","","24.7","","0.0","","0.0","","5.4","","5.2","","5","","11","","43",""
"1997-01-28","1997","01","28","","-1.6","","-11.0","","-6.3","","24.3","","0.0","","0.0","","0.6","","0.8","","9","","30","","78",""
"1997-01-29","1997","01","29","","-10.9","","-15.9","","-13.4","","31.4","","0.0","","0.0","","0.6","","0.4","","8","","28","","35",""
"1997-01-30","1997","01","30","","-3.2","","-15.5","","-9.4","","27.4","","0.0","","0.0","","2.8","","0.6","","10","","","","<31",""
"1997-01-31","1997","01","31","","1.2","","-8.6","","-3.7","","21.7","","0.0","","0.0","","4.6","","4.0","","9","","","","<31",""
"1997-02-01","1997","02","01","","1.2","","-5.6","","-2.2","","20.2","","0.0","","0.0","","0.2","","0.2","","12","","33","","37",""
"1997-02-02","1997","02","02","","1.3","","-2.4","","-0.6","","18.6","","0.0","","0.0","","0.0","T","0.0","T","9","","","","<31",""
"1997-02-03","1997","02","03","","0.7","","-6.8","","-3.1","","21.1","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"1997-02-04","1997","02","04","","2.3","","-7.4","","-2.6","","20.6","","0.0","","11.8","","1.4","","14.2","","6","","10","","56",""
"1997-02-05","1997","02","05","","2.6","","-2.9","","-0.2","","18.2","","0.0","","0.2","","0.2","","0.6","","6","","25","","54",""
"1997-02-06","1997","02","06","","-1.0","","-3.2","","-2.1","","20.1","","0.0","","0.0","","0.0","T","0.0","T","6","","28","","39",""
"1997-02-07","1997","02","07","","-0.6","","-7.4","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","6","","","","<31",""
"1997-02-08","1997","02","08","","-6.2","","-12.7","","-9.5","","27.5","","0.0","","0.0","","0.0","T","0.0","T","5","","","","<31",""
"1997-02-09","1997","02","09","","-3.0","","-15.5","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","4","","","","<31",""
"1997-02-10","1997","02","10","","-1.7","","-5.6","","-3.7","","21.7","","0.0","","0.0","","0.0","T","0.0","T","4","","","","<31",""
