"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2001-01-01","2001","01","01","","-9.7","","-16.5","","-13.1","","31.1","","0.0","","0.0","","0.0","T","0.0","T","17","","","","<31",""
"2001-01-02","2001","01","02","","-4.3","","-19.9","","-12.1","","30.1","","0.0","","0.0","","0.0","T","0.0","T","17","","","","<31",""
"2001-01-03","2001","01","03","","-4.9","","-10.3","","-7.6","","25.6","","0.0","","0.0","","0.2","","0.2","","17","","22","","52",""
"2001-01-04","2001","01","04","","-2.3","","-5.9","","-4.1","","22.1","","0.0","","0.0","","0.6","","0.6","","16","","30","","44",""
"2001-01-05","2001","01","05","","1.6","","-3.5","","-1.0","","19.0","","0.0","","0.0","","4.0","","3.8","","18","","19","","44",""
"2001-01-06","2001","01","06","","-1.3","","-9.2","","-5.3","","23.3","","0.0","","0.0","","0.4","","0.4","","19","","31","","44",""
"2001-01-07","2001","01","07","","-0.1","","-3.7","","-1.9","","19.9","","0.0","","0.0","","0.6","","0.6","","18","","","","<31",""
"2001-01-08","2001","01","08","","-0.8","","-13.8","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","18","","","","<31",""
"2001-01-09","2001","01","09","","-0.2","","-16.4","","-8.3","","26.3","","0.0","","0.0","","0.0","T","0.0","T","16","","26","","54",""
"2001-01-10","2001","01","10","","-0.2","","-4.3","","-2.3","","20.3","","0.0","","0.0","","0.0","T","0.0","T","15","","24","","35",""
"2001-01-11","2001","01","11","","4.0","","-6.5","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","15","","","","<31",""
"2001-01-12","2001","01","12","","1.1","","-8.5","","-3.7","","21.7","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
"2001-01-13","2001","01","13","","1.9","","-6.8","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
"2001-01-14","2001","01","14","","1.4","","-0.2","","0.6","","17.4","","0.0","","0.4","","0.0","T","0.4","","7","","10","","33",""
"2001-01-15","2001","01","15","","2.3","","0.2","","1.3","","16.7","","0.0","","2.2","","0.0","T","2.2","","7","","10","","33",""
"2001-01-16","2001","01","16","","2.5","","-2.0","","0.3","","17.7","","0.0","","0.0","T","0.0","T","0.0","T","5","","29","","44",""
"2001-01-17","2001","01","17","","-1.5","","-4.2","","-2.9","","20.9","","0.0","","0.0","","0.0","T","0.0","T","4","","","","<31",""
"2001-01-18","2001","01","18","","1.2","","-3.7","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","4","","23","","39",""
"2001-01-19","2001","01","19","","0.2","","-14.4","","-7.1","","25.1","","0.0","","0.0","","0.0","T","0.0","T","3","","35","","48",""
"2001-01-20","2001","01","20","","-7.1","","-17.7","","-12.4","","30.4","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"2001-01-21","2001","01","21","","-3.2","","-12.8","","-8.0","","26.0","","0.0","","0.0","","0.0","T","0.0","T","3","","25","","35",""
"2001-01-22","2001","01","22","","-1.9","","-4.1","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","3","","24","","33",""
"2001-01-23","2001","01","23","","1.1","","-3.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","0","","24","","33",""
"2001-01-24","2001","01","24","","0.2","","-5.3","","-2.6","","20.6","","0.0","","0.0","","0.0","T","0.0","T","3","","33","","50",""
"2001-01-25","2001","01","25","","-3.4","","-12.0","","-7.7","","25.7","","0.0","","0.0","","0.0","T","0.0","T","3","","34","","44",""
"2001-01-26","2001","01","26","","-0.4","","-9.5","","-5.0","","23.0","","0.0","","0.0","","2.0","","2.0","","3","","","","<31",""
"2001-01-27","2001","01","27","","-1.3","","-5.4","","-3.4","","21.4","","0.0","","0.0","","1.8","","1.4","","6","","32","","46",""
"2001-01-28","2001","01","28","","-1.9","","-7.2","","-4.6","","22.6","","0.0","","0.0","","0.0","T","0.0","T","7","","27","","35",""
"2001-01-29","2001","01","29","","1.0","","-6.4","","-2.7","","20.7","","0.0","","0.0","T","0.0","","0.0","T","6","","","","<31",""
"2001-01-30","2001","01","30","","2.5","","0.5","","1.5","","16.5","","0.0","","12.6","","0.4","","13.0","","3","","9","","33",""
"2001-01-31","2001","01","31","","3.5","","-0.3","","1.6","","16.4","","0.0","","5.8","","0.8","","6.6","","2","","27","","37",""
"2001-02-01","2001","02","01","","2.5","","-2.8","","-0.2","","18.2","","0.0","","0.0","","0.0","T","0.0","T","2","","","","<31",""
"2001-02-02","2001","02","02","","0.2","","-10.3","","-5.1","","23.1","","0.0","","0.0","","1.4","","1.4","","3","","27","","59",""
"2001-02-03","2001","02","03","","-4.1","","-13.9","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","3","","","","<31",""
"2001-02-04","2001","02","04","","1.9","","-4.2","","-1.2","","19.2","","0.0","","1.2","","0.4","","1.6","","2","","","","<31",""
"2001-02-05","2001","02","05","","2.4","","0.3","","1.4","","16.6","","0.0","","1.2","","0.0","T","1.2","","2","","","","<31",""
"2001-02-06","2001","02","06","","2.0","","-1.2","","0.4","","17.6","","0.0","","0.0","","0.4","","0.4","","2","","31","","37",""
"2001-02-07","2001","02","07","","2.0","","-2.3","","-0.2","","18.2","","0.0","","0.0","","0.0","T","0.0","T","2","","27","","44",""
"2001-02-08","2001","02","08","","0.5","","-2.0","","-0.8","","18.8","","0.0","","12.6","","27.2","","40.4","","6","","12","","35",""
"2001-02-09","2001","02","09","","9.6","","0.5","","5.1","","12.9","","0.0","","20.2","","0.0","","20.2","","15","","23","","93",""
"2001-02-10","2001","02","10","","2.2","","-9.4","","-3.6","","21.6","","0.0","","0.0","","0.6","","0.6","","1","","29","","78",""
"2001-02-11","2001","02","11","","-7.1","","-14.4","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","T","1","","32","","37",""
"2001-02-12","2001","02","12","","-0.5","","-11.4","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","1","","12","","35",""
"2001-02-13","2001","02","13","","2.5","","-3.8","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"2001-02-14","2001","02","14","","1.8","","-1.4","","0.2","","17.8","","0.0","","4.2","","2.4","","8.2","","1","","34","","33",""
"2001-02-15","2001","02","15","","-1.4","","-8.3","","-4.9","","22.9","","0.0","","0.0","","0.0","","0.0","","2","","36","","32",""
"2001-02-16","2001","02","16","","0.2","","-6.1","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","2","","32","","52",""
