"Station Name","TORONTO LESTER B. PEARSON INT'L A"
"Province","ONTARIO"
"Latitude","43.68"
"Longitude","-79.63"
"Elevation","173.40"
"Climate Identifier","6158733"
"WMO Identifier","71624"
"TC Identifier","YYZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2004-01-01","2004","01","01","","2.7","","-0.3","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","0","","29","","39",""
"2004-01-02","2004","01","02","","8.7","","0.5","","4.6","","13.4","","0.0","","4.0","","0.2","","4.2","","0","","26","","39",""
"2004-01-03","2004","01","03","","13.8","","4.4","","9.1","","8.9","","0.0","","0.4","","0.0","","0.4","","0","","28","","37",""
"2004-01-04","2004","01","04","","4.4","","-3.2","","0.6","","17.4","","0.0","","0.0","","1.0","","1.0","","0","","31","","41",""
"2004-01-05","2004","01","05","","-3.0","","-5.7","","-4.4","","22.4","","0.0","","0.0","","3.8","","3.2","","4","","4","","33",""
"2004-01-06","2004","01","06","","-4.7","","-12.8","","-8.8","","26.8","","0.0","","0.0","","0.0","T","0.0","T","5","","28","","74",""
"2004-01-07","2004","01","07","","-6.9","","-12.5","","-9.7","","27.7","","0.0","","0.0","","3.4","","0.8","","4","","29","","69",""
"2004-01-08","2004","01","08","","-4.0","","-17.6","","-10.8","","28.8","","0.0","","0.0","","0.6","","0.2","","7","","35","","46",""
"2004-01-09","2004","01","09","","-17.4","","-22.9","","-20.2","","38.2","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"2004-01-10","2004","01","10","","-9.7","","-23.0","","-16.4","","34.4","","0.0","","0.0","","0.0","T","0.0","T","5","","","","<31",""
