"Station Name","TORONTO LESTER B. PEARSON INT'L A"
"Province","ONTARIO"
"Latitude","43.68"
"Longitude","-79.63"
"Elevation","173.40"
"Climate Identifier","6158733"
"WMO Identifier","71624"
"TC Identifier","YYZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1973-01-01","1973","01","01","","2.2","","-6.7","","-2.3","","20.3","","0.0","","0.0","","0.0","T","0.0","T","0","T","25","","63",""
"1973-01-02","1973","01","02","","-3.3","","-8.9","","-6.1","","24.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","27","","47",""
"1973-01-03","1973","01","03","","1.7","","-8.3","","-3.3","","21.3","","0.0","","4.8","","0.8","","6.9","","0","T","11","","61",""
"1973-01-04","1973","01","04","","5.0","","-1.1","","2.0","","16.0","","0.0","","2.0","","0.3","","2.3","","0","T","27","","82",""
"1973-01-05","1973","01","05","","-0.6","","-9.4","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","27","","66",""
"1973-01-06","1973","01","06","","-8.3","","-17.8","","-13.1","","31.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","36","","43",""
"1973-01-07","1973","01","07","","-12.2","","-19.4","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","0","T","34","","32",""
"1973-01-08","1973","01","08","","-11.7","","-20.0","","-15.9","","33.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"1973-01-09","1973","01","09","","-5.0","","-15.0","","-10.0","","28.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","29","","58",""
"1973-01-10","1973","01","10","","-6.7","","-12.8","","-9.8","","27.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","25","","48",""
"1973-01-11","1973","01","11","","-5.0","","-12.2","","-8.6","","26.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","27","","47",""
"1973-01-12","1973","01","12","","-3.9","","-12.8","","-8.4","","26.4","","0.0","","0.0","","6.1","","5.6","","0","T","25","","63",""
"1973-01-13","1973","01","13","","0.6","","-9.4","","-4.4","","22.4","","0.0","","0.0","","0.0","","0.0","","5","","23","","51",""
"1973-01-14","1973","01","14","","0.0","","-2.2","","-1.1","","19.1","","0.0","","0.0","","1.3","","1.0","","3","","25","","47",""
"1973-01-15","1973","01","15","","2.8","","-2.8","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","3","","29","","43",""
"1973-01-16","1973","01","16","","2.8","","-2.2","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","0","T","25","","64",""
"1973-01-17","1973","01","17","","6.7","","1.1","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","0","T","23","","43",""
"1973-01-18","1973","01","18","","11.1","","3.9","","7.5","","10.5","","0.0","","0.0","T","0.0","","0.0","T","0","T","23","","35",""
"1973-01-19","1973","01","19","","8.3","","-0.6","","3.9","","14.1","","0.0","","4.3","","0.0","T","4.3","","0","","27","","63",""
"1973-01-20","1973","01","20","","0.6","","-10.0","","-4.7","","22.7","","0.0","","0.0","","0.0","T","0.0","T","0","","36","","69",""
"1973-01-21","1973","01","21","","0.6","","-12.8","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","0","","11","","32",""
"1973-01-22","1973","01","22","","7.8","","-0.6","","3.6","","14.4","","0.0","","6.4","","0.0","","6.4","","0","","27","","51",""
"1973-01-23","1973","01","23","","3.9","","-0.6","","1.7","","16.3","","0.0","","0.8","","0.0","T","0.8","","0","","25","","51",""
"1973-01-24","1973","01","24","","0.0","","-6.1","","-3.1","","21.1","","0.0","","0.0","","0.3","","0.3","","0","T","29","","40",""
"1973-01-25","1973","01","25","","6.7","","-6.7","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","T","25","","50",""
"1973-01-26","1973","01","26","","5.0","","-3.9","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"1973-01-27","1973","01","27","","5.0","","-1.7","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","0","","11","","35",""
"1973-01-28","1973","01","28","","1.1","","-9.4","","-4.2","","22.2","","0.0","","1.3","","3.3","","4.8","","0","","34","","64",""
"1973-01-29","1973","01","29","","-8.9","","-15.0","","-12.0","","30.0","","0.0","","0.0","","0.0","T","0.0","T","3","","36","","72",""
"1973-01-30","1973","01","30","","-2.2","","-13.9","","-8.1","","26.1","","0.0","","0.0","","0.0","T","0.0","T","3","","27","","60",""
"1973-01-31","1973","01","31","","-11.1","","-21.1","","-16.1","","34.1","","0.0","","0.0","","2.0","","2.0","","3","","9","","51",""
"1973-02-01","1973","02","01","","3.3","","-13.3","","-5.0","","23.0","","0.0","","1.8","","0.0","T","1.8","","5","","11","","35",""
"1973-02-02","1973","02","02","","6.7","","1.7","","4.2","","13.8","","0.0","","17.3","","0.0","","17.3","","0","T","27","","40",""
"1973-02-03","1973","02","03","","2.8","","-2.8","","0.0","","18.0","","0.0","","0.0","","0.0","T","0.0","T","0","","32","","60",""
"1973-02-04","1973","02","04","","2.8","","-1.1","","0.9","","17.1","","0.0","","0.0","","0.0","T","0.0","T","0","","32","","42",""
"1973-02-05","1973","02","05","","-0.6","","-7.8","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","0","","9","","37",""
"1973-02-06","1973","02","06","","2.2","","-6.1","","-2.0","","20.0","","0.0","","0.3","","0.0","","0.3","","0","","9","","39",""
"1973-02-07","1973","02","07","","3.3","","-4.4","","-0.6","","18.6","","0.0","","0.0","T","0.8","","0.8","","0","","36","","31",""
"1973-02-08","1973","02","08","","-3.3","","-14.4","","-8.9","","26.9","","0.0","","0.0","","2.8","","2.8","","3","","","","<31",""
"1973-02-09","1973","02","09","","-6.7","","-19.4","","-13.1","","31.1","","0.0","","0.0","","0.3","","0.3","","3","","","","<31",""
"1973-02-10","1973","02","10","","-7.2","","-18.9","","-13.1","","31.1","","0.0","","0.0","","0.0","T","0.0","T","3","","36","","39",""
"1973-02-11","1973","02","11","","-10.6","","-21.7","","-16.2","","34.2","","0.0","","0.0","","0.0","T","0.0","T","3","","9","","32",""
"1973-02-12","1973","02","12","","-8.3","","-17.2","","-12.8","","30.8","","0.0","","0.0","","0.8","","0.5","","3","","","","<31",""
"1973-02-13","1973","02","13","","0.0","","-17.8","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"1973-02-14","1973","02","14","","0.6","","-13.3","","-6.4","","24.4","","0.0","","0.0","","0.8","","0.8","","3","","","","<31",""
"1973-02-15","1973","02","15","","-1.1","","-15.6","","-8.4","","26.4","","0.0","","0.0","","1.3","","1.3","","3","","2","","55",""
"1973-02-16","1973","02","16","","-14.4","","-21.7","","-18.1","","36.1","","0.0","","0.0","","1.3","","1.3","","8","","36","","60",""
"1973-02-17","1973","02","17","","-9.4","","-22.8","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","8","","36","","42",""
"1973-02-18","1973","02","18","","-2.8","","-18.3","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","5","","","","<31",""
"1973-02-19","1973","02","19","","1.1","","-5.0","","-2.0","","20.0","","0.0","","0.0","T","0.0","T","0.0","T","3","","27","","37",""
"1973-02-20","1973","02","20","","1.7","","-8.3","","-3.3","","21.3","","0.0","","0.0","","2.3","","2.3","","3","","","","<31",""
"1973-02-21","1973","02","21","","0.0","","-6.7","","-3.4","","21.4","","0.0","","0.0","","5.6","","3.8","","3","","0","","42",""
"1973-02-22","1973","02","22","","-2.2","","-13.3","","-7.8","","25.8","","0.0","","0.0","","0.0","T","0.0","T","8","","0","","42",""
"1973-02-23","1973","02","23","","-2.2","","-16.1","","-9.2","","27.2","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"1973-02-24","1973","02","24","","-0.6","","-13.3","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","5","","0","","40",""
"1973-02-25","1973","02","25","","-5.0","","-15.6","","-10.3","","28.3","","0.0","","0.0","","3.8","","3.3","","5","","0","","32",""
"1973-02-26","1973","02","26","","-7.2","","-17.2","","-12.2","","30.2","","0.0","","0.0","","0.0","T","0.0","T","10","","2","","43",""
"1973-02-27","1973","02","27","","-7.8","","-15.6","","-11.7","","29.7","","0.0","","0.0","","0.3","","0.0","T","10","","7","","37",""
"1973-02-28","1973","02","28","","-1.1","","-16.7","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"1973-03-01","1973","03","01","","5.6","","-5.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","8","","23","","47",""
"1973-03-02","1973","03","02","","6.7","","0.0","","3.4","","14.6","","0.0","","0.0","T","0.0","","0.0","T","3","","","","<31",""
"1973-03-03","1973","03","03","","3.9","","0.0","","2.0","","16.0","","0.0","","2.5","","0.0","","2.5","","0","T","","","<31",""
"1973-03-04","1973","03","04","","8.3","","0.0","","4.2","","13.8","","0.0","","0.3","","0.0","","0.3","","0","T","36","","39",""
"1973-03-05","1973","03","05","","2.8","","-1.1","","0.9","","17.1","","0.0","","7.1","","0.0","","7.1","","0","T","9","","69",""
"1973-03-06","1973","03","06","","12.2","","1.7","","7.0","","11.0","","0.0","","0.8","","0.0","","0.8","","0","","","","<31",""
"1973-03-07","1973","03","07","","10.0","","4.4","","7.2","","10.8","","0.0","","4.1","","0.0","","4.1","","0","","11","","35",""
"1973-03-08","1973","03","08","","12.2","","0.0","","6.1","","11.9","","0.0","","0.0","","0.0","","0.0","","0","","25","","40",""
"1973-03-09","1973","03","09","","5.0","","-2.8","","1.1","","16.9","","0.0","","1.5","","0.0","","1.5","","0","","9","","35",""
"1973-03-10","1973","03","10","","7.8","","0.6","","4.2","","13.8","","0.0","","3.8","","0.0","","3.8","","0","","","","<31",""
"1973-03-11","1973","03","11","","11.7","","1.1","","6.4","","11.6","","0.0","","21.3","","0.0","","21.3","","0","","9","","58",""
"1973-03-12","1973","03","12","","11.7","","2.2","","7.0","","11.0","","0.0","","1.3","","0.0","","1.3","","0","","29","","58",""
"1973-03-13","1973","03","13","","6.1","","0.6","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"1973-03-14","1973","03","14","","3.9","","0.6","","2.3","","15.7","","0.0","","20.6","","0.0","","20.6","","0","","11","","47",""
"1973-03-15","1973","03","15","","19.4","","2.2","","10.8","","7.2","","0.0","","3.8","","0.0","","3.8","","0","","23","","85",""
"1973-03-16","1973","03","16","","8.9","","1.1","","5.0","","13.0","","0.0","","2.8","","0.0","","2.8","","0","","27","","37",""
