"Station Name","TORONTO INTL A"
"Province","ONTARIO"
"Latitude","43.68"
"Longitude","-79.63"
"Elevation","173.40"
"Climate Identifier","6158731"
"WMO Identifier","71624"
"TC Identifier","YYZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2017-01-01","2017","01","01","‡","1.8","","-2.5","","-0.4","","18.4","","0.0","","0.0","","0.0","","0.0","","3","","27","","50",""
"2017-01-02","2017","01","02","‡","4.8","","-4.1","","0.4","","17.6","","0.0","","0.0","T","0.0","","0.0","T","2","","10","","35",""
"2017-01-03","2017","01","03","‡","4.4","","1.7","","3.1","","14.9","","0.0","","15.8","","0.0","","15.8","","0","T","","","<31",""
"2017-01-04","2017","01","04","‡","3.5","","-8.5","","-2.5","","20.5","","0.0","","0.1","","0.1","","0.2","","0","T","27","","80",""
"2017-01-05","2017","01","05","‡","-6.5","","-11.9","","-9.2","","27.2","","0.0","","0.0","T","0.0","","0.0","T","0","T","25","","56",""
"2017-01-06","2017","01","06","‡","-7.3","","-13.4","","-10.4","","28.4","","0.0","","0.0","","0.0","","0.0","","0","T","26","","43",""
"2017-01-07","2017","01","07","‡","-7.6","","-14.2","","-10.9","","28.9","","0.0","","0.0","","0.0","","0.0","","0","T","28","","41",""
"2017-01-08","2017","01","08","‡","-9.0","","-13.4","","-11.2","","29.2","","0.0","","0.0","T","0.0","","0.0","T","0","T","25","","50",""
"2017-01-09","2017","01","09","‡","-2.7","","-9.5","","-6.1","","24.1","","0.0","","0.0","T","0.0","","0.0","T","0","T","25","","57",""
"2017-01-10","2017","01","10","‡","7.8","","-3.1","","2.4","","15.6","","0.0","","11.2","","7.2","","19.0","","1","","23","","74",""
"2017-01-11","2017","01","11","‡","7.3","","0.8","","4.1","","13.9","","0.0","","6.2","","0.0","","6.2","","0","T","25","","102",""
"2017-01-12","2017","01","12","‡","8.9","","-2.3","","3.3","","14.7","","0.0","","10.2","","0.0","","10.2","","0","T","26","","46",""
"2017-01-13","2017","01","13","‡","-1.6","","-8.8","","-5.2","","23.2","","0.0","","0.0","T","0.0","","0.0","T","0","T","29","","56",""
"2017-01-14","2017","01","14","‡","-3.3","","-9.1","","-6.2","","24.2","","0.0","","0.0","T","0.0","","0.0","T","0","T","","","<31",""
"2017-01-15","2017","01","15","‡","-0.1","","-7.2","","-3.7","","21.7","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"2017-01-16","2017","01","16","‡","2.6","","-6.3","","-1.9","","19.9","","0.0","","0.0","","0.0","","0.0","","0","T","26","","32",""
"2017-01-17","2017","01","17","‡","1.7","","-0.3","","0.7","","17.3","","0.0","","12.2","","0.0","","12.2","","0","T","9","","44",""
"2017-01-18","2017","01","18","‡","3.3","","0.7","","2.0","","16.0","","0.0","","0.4","","0.0","","0.4","","0","T","23","","33",""
"2017-01-19","2017","01","19","‡","2.9","","0.9","","1.9","","16.1","","0.0","","0.0","T","0.0","","0.0","T","0","T","","","<31",""
"2017-01-20","2017","01","20","‡","3.7","","0.7","","2.2","","15.8","","0.0","","0.2","","0.0","","0.2","","0","T","","","<31",""
"2017-01-21","2017","01","21","‡","6.3","","2.0","","4.2","","13.8","","0.0","","0.0","T","0.0","","0.0","T","0","T","","","<31",""
"2017-01-22","2017","01","22","‡","5.4","","1.8","","3.6","","14.4","","0.0","","0.0","T","0.0","","0.0","T","","","9","","39",""
"2017-01-23","2017","01","23","‡","3.9","","0.5","","2.2","","15.8","","0.0","","0.0","T","0.0","","0.0","T","","","9","","41",""
"2017-01-24","2017","01","24","‡","1.4","","-0.7","","0.4","","17.6","","0.0","","0.0","","0.0","","0.0","","","","30","","37",""
"2017-01-25","2017","01","25","‡","4.9","","-0.6","","2.2","","15.8","","0.0","","0.9","","0.1","","1.0","","","","24","","30",""
"2017-01-26","2017","01","26","‡","4.0","","0.2","","2.1","","15.9","","0.0","","1.7","","0.1","","1.8","","","","29","","56",""
"2017-01-27","2017","01","27","‡","1.8","","-1.6","","0.1","","17.9","","0.0","","0.0","T","0.0","","0.0","T","0","T","28","","56",""
"2017-01-28","2017","01","28","‡","-0.9","","-2.5","","-1.7","","19.7","","0.0","","0.0","","0.6","","0.4","","0","T","25","","44",""
"2017-01-29","2017","01","29","‡","-1.8","","-7.1","","-4.5","","22.5","","0.0","","0.0","T","0.0","","0.0","T","0","T","29","","50",""
"2017-01-30","2017","01","30","‡","-4.6","","-10.9","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","0","T","32","","33",""
